input,response
"TEXT: The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .","[[""International Microgravity Laboratory-1"", ""Operator"", ""NASA""], [""International Microgravity Laboratory-1"", ""Operator"", ""European Space Agency""], [""International Microgravity Laboratory-1"", ""Operator"", ""Roger K. Crouch""]]"
"TEXT: Prime Minister Felipe Gonzalez of Spain told reporters , ` ` The police actions and the arrests are of great importance to Spanish society on such a major matter as the battle against terrorism. ' '","[[""Felipe González"", ""Office"", ""Prime Minister of Spain""]]"
"TEXT: In 1752 , flagmaker Betsy Ross was born in Philadelphia .","[[""Betsy Ross"", ""Born"", ""1752""]]"
"TEXT: This Latin American group 's reaction came two days after the military leaders of Haiti made Emile Jonassaint provisional president of Haiti , following the Haitian Parliament 's declaration that the post was vacant .","[[""Emile Jonassaint"", ""Office"", ""President of Haiti""]]"
"TEXT: No. 1 is the West Coast 's tallest building , the 76-story black-glass Columbia Seafirst Center built in 1985 , before downtown zoning went into effect .","[[""Columbia Seafirst Center"", ""Location"", ""Seattle""], [""Columbia Seafirst Center"", ""Years_in_use"", ""1985""]]"
"TEXT: Yahia Bouguettaya , the former mayor of Mohammadia , south-east Algeria , and Mohamed Touali , an activist in Algeria 's Ettahadi ( Challenge ) political party , were assassinated Wednesday .","[[""Yahia Bouguettaya"", ""Office"", ""Mayor of Mohammadia""]]"
TEXT: He developed evidence regarding the assassination of President Kennedy which supported the findings of the Warren Commission that Lee Harvey Oswald was the lone assassin .,"[[""John F. Kennedy"", ""Assassination"", ""Lee Harvey Oswald""]]"
"TEXT: Montana : A fire burning in grassland and scattered timber in the Custer National Forest became the state 's biggest fire of the summer Tuesday when it surpassed 1 , 200 acres.","[[""Montana"", ""Summer"", ""June""]]"
"TEXT: JOHANNESBURG , South Africa ( AP )","[[""AP"", ""Location"", ""South Africa""]]"
"TEXT: The PRAVDA newspaper carries an interview with Radovan Karadzic , leader of Bosnian Serbs and vice-president of the Union of Serb Writers .","[[""Radovan Karadzic"", ""Office"", ""Vice-President of the Union of Serb Writers""]]"
"TEXT: ( Text ) The National Central Organization of Panamanian Workers ( CNTP ) , which comprises three workers ' federations and 16 unions for a total of 12 , 000 workers , has proclaimed its determination to support Dr. Ernesto Perez Balladares for the presidency of the Republic .","[[""CNTP"", ""Size"", ""12, 000""]]"
"TEXT: MOSKOVSKIY KOMSOMOLETS has learned from competent sources that the commission is supposed to pay special attention to Lazutkin , former first deputy general director of "" Ostankino , "" who currently holds the position of first deputy head of the Russian Federation Federal Service for Television and Radio Broadcasting.","[[""Ostankino"", ""former_chief_executive"", ""Vladimir Lazutkin""]]"
"TEXT: But trustee Daniel L. Bakst , a West Palm Beach , Fla. , lawyer , said he will not let the 11th-hour settlement efforts interfere with his assignment to track down Warner 's assets for distribution to creditors.","[[""Daniel L. Bakst"", ""Worked_For"", ""Wildwood Enterprises""]]"
TEXT: Serbia is the largest of Yugoslavia 's six republics.,"[[""Serbia"", ""is_part_of"", ""Yugoslavia""]]"
TEXT: Sirhan was convicted of Kennedy 's killing and is serving a life sentence .,"[[""Sirhan Sirhan"", ""Sentence"", ""Life imprisonment""]]"
"TEXT: A mechanized infantry battalion belonging to the 21st Brigade of Cerro Muriano in Cordoba and to the 12th Brigade in Botoa in Badajoz , a company of the Special Operations Group in Alicante , and a squadron from the Jarama 1st Cavalry Brigade from Salamanca make up the Cordoba Group .","[[""Cordoba Group"", ""Component"", ""21st Brigade of Cerro Muriano""]]"
"TEXT: Those honored were Jean Griffith , mother of a man killed on a Howard Beach , Queens , parkway after being chased by a gang of whites in December 1986 ;","[[""Jean Griffith"", ""Son"", ""James Griffith""]]"
"TEXT: FBI agents arrived at Sohn 's New Jersey home and escorted him to safety only 30 minutes before KCIA agents showed up , an unidentified senior law enforcement official told the Times .","[[""Sohn"", ""Hometown"", ""New Jersey""]]"
"TEXT: Prime Brian Mulroney 's Progressive Conservative Party won its second consecutive majority government in the election , and he signed the trade pact with President Reagan in January 1988 .","[[""Brian Mulroney"", ""Party"", Progressive Conservative Party]]"
TEXT: Treiki disclosed the planned missile tests during Security Council debate Tuesday night after the U.S. 6th Fleet informed Libyan air traffic controllers so they could divert civilian air traffic .,"[[""Tuesday"", ""Day"", ""Tuesday""]]"
"TEXT: BANGKOK , Thailand ( AP )","[[""Bangkok"", ""is_part_of"", ""Thailand""]]"
"TEXT: In Washington , the General Accounting Office ( GAO ) , the congressional watchdog of government spending , says in a report released last August that Israel might be underestimating the costs of producing and deploying the Arrow system .","[[""General Accounting Office"", ""Type"", ""Congress""], [""General Accounting Office"", ""Place"", ""Washington, D.C.""], [""General Accounting Office"", ""Activity"", ""Congress""], [""General Accounting Office"", ""Purpose"", ""to provide Congress with information on the financial condition and operations of the federal government""]]"
"TEXT: Britain 's Duchess of York and former Philippines first lady Imelda Marcos topped the list by Blackwell , a designer and self-appointed fashion arbiter whose real name is Richard Sylvan Selzer .","[[""Imelda Marcos"", ""Nickname"", ""Imelda""]]"
"TEXT: Today 's highlight in history : On the Ides of March , 44 B.C. , Roman Emperor Julius Caesar was assassinated by a group of nobles that included Brutus and Cassius .","[[""Julius Caesar"", ""assassination_date"", ""44 BC""]]"
"TEXT: Until President 's Day of this year , the public could not enter the sixth floor of the old school book depository in downtown Dallas , where it 's believed Lee Harvey Oswald fired the shots that killed Kennedy .","[[""Lee Harvey Oswald"", ""Assassination"", ""John F. Kennedy""]]"
"TEXT: An electrical train has arrived at Novonezhino to evacuate local inhabitants , and a special group from the Russian Defence Ministry has left Moscow by plane en route to Vladivostok and the site of the explosion .","[[""Novonezhino"", ""located_in"", ""Vladivostok""]]"
"TEXT: Deputy U.S. Ambassador Herbert S. Okun announced the cancellation just before the council began debate , and officials in Washington confirmed it .","[[""Herbert S. Okun"", ""Worked_For"", ""United States""]]"
TEXT: Moscow March 5 ( ITAR-TASS ) -- Moscow leading newspapers concentrate on the speeches by President Boris Yeltsin and Premier Viktor Chernomyrdin at the government 's enlarged meeting on Friday .,"[[""Moscow"", ""has_a_leader"", ""ITAR-TASS""]]"
"TEXT: Winter , 53 , a former Yale University law professor who took the bench in 1982 , and Starr , a fellow appointee of President Reagan , are both known as judicial conservatives .","[[""Winter"", ""Appointed_By"", ""Reagan""]]"
"TEXT: In 1873 , radio electronics pioneer Dr. Lee DeForest was born in Council Bluffs , Iowa .","[[""Lee DeForest"", ""Born"", 1873]]"
"TEXT: In southwest Louisiana 's Cameron Parish ( county ) , civil defense director Hayes Picou about 8 , 500 of the low-lying parish 's 10 , 000 residents had evacuated the southern coast , most to stay with friends or relatives.","[[""Hayes Picou"", ""Works_For"", ""Cameron Parish Civil Defense""]]"
"TEXT: The Internal Revenue Service and Manufacturers Hanover Trust Co. of New York , two of the largest creditors in the Herbert Hunt bankruptcy , said they will file a repayment plan by Friday.","[[""Internal Revenue Service"", ""Creditor"", ""Herbert Hunt""]]"
TEXT: The committee reported in July 1979 that Lee Harvey Oswald had shot Kennedy and that neither the Soviet Union nor Cuba nor any U.S. government agency was involved in the killing. ;,"[[""John F. Kennedy"", ""Assassination"", ""1963""]]"
TEXT: Announces Offer to End Strike PA0302025694 Panama City ACAN in Spanish 2153 GMT 2 Feb 94,"[[""Announces Offer to End Strike"", ""Place"", ""Panama City""], [""Announces Offer to End Strike"", ""Date"", ""2 February 1994""], [""Announces Offer to End Strike"", ""Source"", ""ACAN in Spanish""]]"
"TEXT: Other winners are : _ Actress Helen Hayes , 87 , born in Washington , who first appeared on stage at the age of 5 , made her New York debut in 1909 and has played in works of Shakespeare , Tennessee Williams and Eugene O'Neill during her long career as a stage and movie actress.","[[""Helen Hayes"", ""Born"", ""Washington, D.C.""]]"
"TEXT: Bossi set up the Freedom Alliance not because he believed in it , but because he found that it was necessary to do so. ( Minoli ) Do you think that this continual exchange of insults is advantageous to the common cause ? ( Fini ) It is advantageous because whoever listens does not vote for Occhetto ( leader of the Democratic Party of the Left ) .","[[""Bossi"", ""Org"", ""Freedom Alliance""]]"
"TEXT: The law , patterned after similar measures in Michigan and California , gives victims ` ` a maximum opportunity to participate , ' ' said Fran Sepler , executive of the state Crime Victim and Witness Advisory Council.","[[""Fran Sepler"", ""Works_For"", ""Crime Victim and Witness Advisory Council""]]"
"TEXT: Gary Hess , an Emery employee , saw the plane go down as he was getting off work at the airport .","[[""Emery"", ""Employee"", ""Gary Hess""]]"
"TEXT: The six men were found under the rubble in the basement of a nine-story apartment building which had collapsed on them , the official Soviet news agency said in a report from Yerevan , the capital of Armenia .","[[""Yerevan"", ""capital"", ""Armenia""]]"
"TEXT: In 1963 , the year he joined the Herald Tribune , he was riding in the motorcade with President Kennedy when Kennedy was fatally shot by Lee Harvey Oswald in Dallas. ;","[[""Lee Harvey Oswald"", ""Assassination"", ""John F. Kennedy""]]"
"TEXT: ` ` If we 're going to address this problem it will be a grass-roots effort by activists throughout the cities of the world , ' ' said Jeremy Rifkin , director of the Foundation on Economic Trends and a member of the Global Greenhouse Network , a coalition of environmental activists in 35 countries .","[[""Jeremy Rifkin"", ""Works_for"", ""Foundation on Economic Trends""], [""Jeremy Rifkin"", ""is_a_member_of"", ""Global Greenhouse Network""]]"
"TEXT: When he was called to examine Robert F. Kennedy 's assassin , Sirhan Sirhan , a Jordanian residing in the United States , Markman refused .","[[""Robert F. Kennedy"", ""Assassination"", ""Sirhan Sirhan""]]"
TEXT: Tokyo NIHON KEIZAI SHIMBUN,"[[""Tokyo"", ""isPartOf"", ""Japan""]]"
"TEXT: Jeffrey Bander , vice for development of new products at American Express , said the credit card company conducted two different research projects before launching its weather phone.","[[""American Express"", ""product"", Weather Phone]]"
"TEXT: In 1968 , authorities announced the capture in London of James Earl Ray , suspected of the assassination of civil rights leader Dr. Martin Luther King Jr .","[[""1968""], ""Person"", ""Martin Luther King Jr.""], [""1968""], ""Place"", ""London""]]"
"TEXT: James Earl Ray , 60 , is serving 99 years in prison for first-degree murder of King in Memphis on April 4 , 1968 .","[[""James Earl Ray"", ""Sentence"", ""99 years in prison""]]"
"TEXT: ( Excerpts ) US President Bill Clinton 's decision to lift a long-standing trade embargo against Vietnam had been expected. ( passage omitted ) In his White House speech , Clinton said the time for bitterness was over and now was the time for a new beginning between Hanoi and Washington .","[[""Bill Clinton"", ""Office"", ""President of the United States""], [""Bill Clinton"", ""Term"", ""1993-2001""]]"
"TEXT: In Washington , U.S officials announced that the Navy will rotate two aircraft carrier battle groups well away from Libya as one replaces the other .","[[""U.S. officials"", ""location"", ""Washington""]]"
"TEXT: Such theories , which are not alone in the international press , find support in another agreement that was also signed in Geneva -- which the Croatian opposition ostensibly did not notice , to the great surprise and almost astonishment of all , and consequently did not comment on , although the integral text was published in Croatian newspapers -- the agreement signed between Mile Akmadzic , on behalf of the Croatian Republic of Herceg-Bosna , and Nikola Koljevic , on behalf of the Serbian Republic , in which both sides emphasize that "" there are no disputed issues between them that cannot be solved in a peaceful way . ""","[[""Mile Akmadzic"", ""on_behalf_of"", ""Croatian Republic of Herceg-Bosna""], [""Mile Akmadzic"", ""on_behalf_of"", ""Serbian Republic""]]"
"TEXT: Tal , a senior Defense Ministry official , has not repeated these views in public .","[[""Tal"", ""department"", ""Defense Ministry""]]"
"TEXT: Lennon was shot to death Dec. 8 , 1980 , in the courtyard of his New York City apartment building by Mark David Chapman , a former Beatles ' fan who was convicted of the killing and sentenced to prison for a term of 20 years to life .","[[""John Lennon"", ""assassinater"", ""Mark David Chapman""]]"
"TEXT: In 1890 , the 34th President of the United States , Dwight D. Eisenhower , was born in Denison , Texas .","[[""Dwight D. Eisenhower"", ""Born"", 1890]]"
"TEXT: By contrast , nearly 6 million square feet of downtown office space is newly completed , under construction or has received city permits , said Virginia Galle , a City Council member and CAP supporter .","[[""Virginia Galle"", ""Office_Space"", ""6 million square feet""]]"
TEXT: Harrington taught at Harvard University and the National War College.,"[[""William Harrington"", ""Education"", ""Harvard University""], [""William Harrington"", ""Education"", ""National War College""]]"
"TEXT: The federal appeals court threw out the death sentence of John Harvey Adamson , convicted of murdering Phoenix newspaper reporter Don Bolles in 1976 .","[[""Don Bolles"", ""Killed"", ""John Harvey Adamson""]]"
"TEXT: Fred Farrar , another FAA spokesman , said airlines flying the 737-300s are Aloha , America West , American , Continental , Delta , Orion , Piedmont , Southwest , United and U.S. Air .","[[""737-300"", ""Owner"", ""American Airlines""]]"
"TEXT: The trud newspaper features the last part of the memoirs by former commander of the Soviet Navy Nikolai Kuznetsov who personally knew Stalin , under the headline "" Stalin 's Death . ""","[[""Nikolai Kuznetsov"", ""Worked_for"", ""Soviet Navy""]]"
TEXT: National Congress President Vinicio Villar Anleu commented on the implications of the case : ( Begin recording ) ( Villar Anleu ) It seems to us -- and we uphold Congress ' institutional policy -- that the nation 's laws must be respected and that the Constitution must be respected .,"[[""Vinicio Villar Anleu"", ""Office"", ""President of the National Congress""]]"
"TEXT: Several organizations planned remembrances later today at Parkland Memorial Hospital , where Kennedy was taken after being shot , and the Texas Theater , where Lee Harvey Oswald was arrested hours after the assassination .","[[""Parkland Memorial Hospital"", ""located_in"", ""Dallas""], [""Parkland Memorial Hospital"", ""located_in"", ""Texas Theater""]]"
TEXT: Ambassador Miller is also scheduled to meet with Crimean Deputy Yevhen Saburov and Black Sea Fleet Commander Eduard Baltin.,"[[""Yevhen Saburov"", ""Officer"", ""Black Sea Fleet Commander""]]"
"TEXT: ` ` I think the longer they talk , the longer they delay , the greater the chances that we may turn this around and get them all home , ' ' said Ms. Say in Nashville , Tenn.","[[""Ms. Say"", ""Said"", ""in Nashville, Tenn.""]]"
TEXT: A chart used to decipher the code was found among Booth 's effects after he was shot by Union soldiers 11 days after the assassination of Lincoln .,"[[""Booth"", ""Killed_By"", ""Union soldiers""]]"
"TEXT: ( Text ) Taipei , Jan. 20 ( CNA ) -- Foreign Chien Fu will leave for the United States on January 29 to give two speeches in the Boston area .","[[""Chien Fu"", ""Speaker"", ""Chien Fu""]]"
"TEXT: ` ` ` Ryan 's Hope ' has not been rejected by the audience , it has simply been unavailable to viewers , ' ' Jo Ann Emmerich , vice president of daytime programs for ABC Entertainment , said at the time .","[[""Ryan's Hope"", ""Show_Sponsored_By"", ABC Entertainment]]"
"TEXT: On this date : In 1843 , the 25th President of the United States , William McKinley , was born in Niles , Ohio .","[[""William McKinley"", ""Birth_Place"", ""Niles, Ohio""]]"
TEXT: Moscow MOSKOVSKIY KOMSOMOLETS,"[[""Moscow""], ""Club"", ""Moskovsky Komsomolets""]]"
"TEXT: In 1874 , Herbert Clark Hoover , the 31st president of the United States , was born in West Branch , Iowa .","[[""Herbert Clark Hoover"", ""Birth_Place"", ""West Branch, Iowa""]]"
"TEXT: Many had hoped their loyality would convince the banks , primarily the Frankfurt-based Commerzbank and Giessen 's Bezirksparkasse bank , to continue to help Minox , but the hope backfired on those who were layed off , he said .","[[""Minox"", ""Bank"", ""Bergisches Bezirksparkasse""]]"
"TEXT: An abstract theory explaining the structure of minimal surface in Riemann 's multi-dimensional space has been developed by Wang Guangyan , with the assistance of his PhD student , at the Institute of Mathematics .","[[""Riemann's multi-dimensional space"", ""theory"", ""Abstract theory""], [""Riemann's multi-dimensional space"", ""structure"", ""Minimal surface""], [""Wang Guangyan"", ""worked_for"", ""Institute of Mathematics""]]"
"TEXT: Owen Le Vallee , president of the Liberation Day Committee , said his mother found a starving German in the outhouse during the year after D-Day , the 1944 Allied invasion of Europe.","[[""Owen Le Vallee"", ""Mother"", ""Owen Le Vallee""]]"
"TEXT: KARBALA , Iraq ( AP )","[[""Karbala"", ""is_part_of"", Iraq]]"
"TEXT: Another beacon of the better life is Prateep Ungsongtham , known as the ` ` Slum Angel of Bangkok. ' '","[[""Prateep Ungsongtham"", ""Known_as"", ""Slum Angel of Bangkok""]]"
"TEXT: ( Text ) In an interview with Interfax the chief of Belarus 's Security Committee , Eduard Shirkovskiy , has dismissed rumors that the copies of the files relating to Lee Harvey Oswald , who was charged with having assassinated President John Kennedy , will be handed to President Bill Clinton during his visit to Minsk .","[[""Interfax"", ""Person"", ""Eduard Shirkovskiy""]]"
"TEXT: Michael Henley Jr. , 10 , disappeared on a turkey hunt with his father in April 1988 in the mountains near their hometown of Grants , N.M. Ms. Calico , then 19 , disappeared five months later while bicycling on a country road near her hometown of Belen , N.M.","[[""Michael Henley Jr."", ""Date_of_Death"", ""1988-04-26""], [""Michael Henley Jr."", ""Hometown"", ""Grants, N.M.""], [""Michael Henley Jr."", ""Date_of_Death"", ""1988-04-26""], [""Michael Henley Jr."", ""Cause"", ""Disappearance""]]"
TEXT: ( Text ) Moscow April 25 TASS -- Preliminary marine pollution measurements taken from the sites of radioactive waste dumping by the former Soviet Union and Japan in the Sea of Japan did not reveal any Caesium-137 radioactive level fluctuations .,"[[""Moscow"", ""is_part_of"", ""Russia""]]"
"TEXT: Police arrested 10 Spanish Basque militants , including Jose Antonio Urutigoechea , considered by Madrid to be a top leader of the Spanish Basque separatist organization ETA , authorities said today .","[[""ETA"", ""Top_Leader"", ""Jose Antonio Urutigoechea""]]"
"TEXT: The Warren Commission concluded that Oswald , acting alone , fired the shots that killed Kennedy and wounded John Connally , then the Texas governor .","[[""John Connally"", ""Killed"", ""John F. Kennedy""]]"
"TEXT: The advisory committee voted 7-1 to recommend that the drug remain a prescription ingredient , said Susan Cruzan , an FDA spokeswoman.","[[""Susan Cruzan"", ""Works_For"", ""FDA""]]"
"TEXT: ` ` It 's been a nightmare , ' ' said Shelley Yeager , director of the Clara Barton camp at Oxford in central Massachusetts.","[[""Shelly Yeager"", ""Works_for"", ""Clara Barton Camp""]]"
"TEXT: And William McKinley 's assassin Leon Czolgosz croons "" The Ballad of Czolgosz "" from the electric chair .","[[""The Ballad of Czolgosz"", ""Singer"", Leon Czolgosz]]"
TEXT: Yeltsin Orders Audit of Ostankino Finances MK1401103094 Moscow MOSKOVSKIY KOMSOMOLETS in Russian 14 Jan 94 p 1,"[[""Moscow Moskovskiy Kommunalete"", ""language"", ""Russian""], [""Moscow Moskovskiy Kommunalete"", ""date"", ""1994-01-14""]]"
"TEXT: ` ` We are constantly getting confirmation that the U.S. economy is no longer in a boom phase , and that interest rates are falling , ' ' said a dealer at a U.S. bank in Frankfurt , West Germany.","[[""We are constantly getting confirmation that the U.S. economy is no longer in a boom phase, and that interest rates are falling,"", ""We are constantly getting confirmation that the U.S. economy is no longer in a boom phase, and that interest rates are falling,"", ""We are constantly getting confirmation that the U.S. economy is no longer in a boom phase, and that interest rates are falling,"", ""We are constantly getting confirmation that the U.S. economy is no longer in a boom phase, and that interest rates are falling,""]]"
"TEXT: In 1969 , Sirhan Sirhan was convicted of assassinating U.S. Sen. Robert F. Kennedy .","[[""Robert F. Kennedy"", ""Assassination"", ""1969""]]"
"TEXT: Jesse Jackson easily won the Democratic precinct caucuses Saturday in his native South Carolina , while Sen. Bob Dole went on Illinois television for a half-hour plea for Republican votes in a state where he said he is the underdog .","[[""Jesse Jackson"", ""Native_Place"", South Carolina]]"
TEXT: MEXICO CITY ( AP ),"[[""AP"", ""Newspaper"", ""Mexico City Herald""]]"
"TEXT: Temperatures around the nation at 2 a.m. EST ranged from 2 degrees at Jackson , Wyo. , and Gunnison , Colo. , to 89 degrees at McAllen , Texas .","[[""Jackson"", ""Wyoming"", ""temperature""], [""Jackson"", ""Colorado"", ""temperature""], [""Jackson"", ""Texas"", ""temperature""], [""Jackson"", ""Colorado"", ""name""], [""Jackson"", ""Wyoming"", ""state""], [""Jackson"", ""Wyoming"", ""city""], [""Jackson"", ""Wyoming"", ""zipcode""], [""Jackson"", ""Wyoming"", ""country""], [""Jackson"", ""Wyoming"", ""city""], [""Jackson"", ""Wyoming"", ""zipcode""], [""Jackson"", ""Wyoming"", ""state""], [""Jackson"", ""Wyoming"
"TEXT: ` ` We certainly believe it 's a prudent measure to go out and check to make sure there 's nothing wrong with the fleet , ' ' Boeing Commercial Airplanes spokesman Craig Martin said Wednesday in Seattle .","[[""Craig Martin"", ""Works_For"", Boeing Commercial Airplanes]]"
TEXT: As Rochester teacher union leader Adam Urbanski put it : ` ` We have set the table ; we have not served the meal yet. ' ',"[[""Adam Urbanski"", ""Place"", Rochester]]"
TEXT: Tokyo MAINICHI SHIMBUN,"[[""Mainichi Shimbun"", ""City"", ""Tokyo""]]"
"TEXT: If the elections had been held during the last 10 days of May , that is , after the debate , Fernandez de Cevallos would reportedly be the next president of Mexico with 33.2 percent of the vote .","[[""Fernandez de Cevallos"", ""Percentage"", ""33.2""]]"
TEXT: Authorities say Oswald opened fire from a sixth-floor window there into Kennedy 's motorcade .,"[[""Los Angeles"", ""City_State"", ""California""], [""Los Angeles"", ""City"", ""Los Angeles""], [""Los Angeles"", ""City"", ""Los Angeles""], [""Los Angeles"", ""City"", ""Los Angeles""], [""Los Angeles"", ""City"", ""Los Angeles""], [""Los Angeles"", ""City"", ""Los Angeles""], [""Los Angeles"", ""City"", ""Los Angeles""], [""Los Angeles"", ""City"", ""Los Angeles""], [""Los Angeles"", ""City"", ""Los Angeles""], [""Los Angeles"", ""City"", ""Los Angeles""], [""Los Angeles"", ""City"", ""L"
"TEXT: Meanwhile , the historical society in Beaumont , Texas , Richardson 's hometown , plans to raise two statues on Feb. 3 _ one of Buddy Holly , Richardson and Valens , and a second of the Big Bopper alone .","[[""Big Bopper"", ""Death_Place"", ""Beaumont, Texas""]]"
"TEXT: At a briefing at NRC headquarters in nearby Rockville , Md. , Bernero said the volcanic cones in the area of Yucca Mountain have been a cause of concern for NRC experts.","[[""Rockville"", ""is_part_of"", ""Maryland""]]"
"TEXT: ( Text ) Saint-Gall , Switzerland , Feb 2 ( AFP ) -- The wreck of a twin-engine aircraft has been found 160 metres below the surface of Lake Constance , Swiss police said Tuesday ( 1 February ) .","[[""Lake Constance"", ""Number_Of_Passengers"", ""2""]]"
"TEXT: According to the communique , clashes are continuing mainly in the Rancho Nuevo area at the military base in the southern Chiapas State .","[[""Rancho Nuevo"", ""Location"", ""Mexico""]]"
"TEXT: Dallas police arrested Oswald there on Nov. 22 , 1963 , after the assassination of President John F. Kennedy .","[[""Nov. 22"", ""Year"", 1963]]"
"TEXT: In Washington state , near the Canadian border , firefighters hoped to contain an 850-acre fire by tonight , said Greg Thayer of the Forest Service.","[[""Greg Thayer"", ""Worked_For"", ""Forest Service""]]"
"TEXT: In an "" electoral communique "" signed by CNTP Secretary Luis Cobos R. , the organization said it hopes that with this decision "" we will achieve the return of the Torrijist forces to power to stimulate the process of national liberation . ""","[[""CNTP"", ""Secretary"", ""Luis Cobos R.""]]"
"TEXT: In it , actor Edwin Booth tells us his version of his life story , in which he and not his brother John Wilkes shoots Abraham Lincoln at Ford 's Theater .","[[""Edwin Booth"", ""Brother"", ""John Wilkes Booth""]]"
"TEXT: In 1801 , Mormon leader Brigham Young was born in Whitingham , Vt .","[[""Brigham Young"", ""Born"", ""1801""], [""Brigham Young"", ""Born"", ""Whitingham, Vermont""]]"
"TEXT: The Warren Commission concluded that Lee Harvey Oswald , acting alone , fired the shots that killed Kennedy and wounded John Connally , then the Texas governor , on Nov. 22 , 1963 in Dallas .","[[""John Connally"", ""Killed"", ""John F. Kennedy""]]"
"TEXT: The spilled fuel covered an area two miles long and nearly a half-mile wide , said Whitefish City Attorney Tom Muri.","[[""Whitefish City Attorney Tom Muri"", ""Said"", ""The spilled fuel covered an area two miles long and nearly a half-mile wide""]]"
"TEXT: In California 's Sierra Nevada foothills , firefighters today declared they had contained a fire that blackened 11 , 700 acres of brush and grassland and destroyed seven homes.","[[""11,700 acres"", ""Total_acres"", ""11,700""], [""11,700 acres"", ""Location"", ""Sierra Nevada foothills""]]"
"TEXT: "" I was hearing the same story , "" says James Hackett , an executive with Titan Systems and one of the leading missile experts in the U.S .","[[""James Hackett"", ""Works_For"", ""Titan Systems""]]"
"TEXT: The quake leveled much of Leninakan , Armenia 's second-largest city 10 miles east of the Turkish border and left thousands homeless .","[[""Leninakan"", ""is_part_of"", ""Armenia""]]"
TEXT: Pittsburgh-Corning Corp. of Pittsburgh ;,"[[""Pittsburgh-Corning Corp."", ""City,"", ""Pittsburgh""]]"
"TEXT: Barrett is a member of the Illinois Commerce Commission , and Marshall is a lawyer and former legislative aide to Patrick.","[[""Barrett Marshall"", ""Office"", ""Member of the Illinois Commerce Commission""]]"
"TEXT: During my recent tour , I met with Sultan Qabus Bin-Sa 'id of Oman .","[[""Sultan Qabus Bin-Sa'id of Oman"", ""Title""]]"
"TEXT: Ten years ago : James Earl Ray , convicted of assassinating Dr. Martin Luther King Jr. in 1968 , repeated his assertion at a Capitol Hill hearing that he did not commit the crime , saying he 'd been set up to take the blame by a mysterious man called Raoul .","[[""James Earl Ray"", ""Assassinates"", ""Martin Luther King Jr.""]]"
TEXT: They will also be cleaning the car Oswald drove on the day Kennedy was shot and the ambulance that took Oswald to hospital after he was shot by Jack Ruby .,"[[""Jack Ruby"", ""killed"", ""Leonid D. Kennedy""]]"
"TEXT: Widespread street flooding was reported throughout Brazoria , Fort Bend , Galveston and southern Harris Counties in southeast Texas.","[[""Widespread street flooding was reported throughout Brazoria , Fort Bend , Galveston and southern Harris Counties in southeast Texas""]]"
TEXT: LD2804174994 Moscow INTERFAX in English 1601 GMT 28 Apr 94,"[[""LD2804174994"", ""language"", ""English""], [""LD2804174994"", ""date"", ""1994-04-28""]]"
"TEXT: Navy sources said the Coral Sea , on duty with the 6th Fleet in the Mediterranean , left ` ` a few hours ' ' ahead of its scheduled departure.","[[""USS Coral Sea"", ""on_duty_with"", ""6th Fleet""]]"
"TEXT: It is one of many deep below the arid surface , fed by underground channels that carry rainwater from the Najd plateau in northern Saudi Arabia to the west.","[[""Saudi Arabia""], ""Location"", ""northern Saudi Arabia""]]"
